iter	Passed	Remaining
410	3355	4808
411	3362	4799
412	3370	4791
413	3375	4778
414	3380	4765
415	3388	4756
416	3393	4744
417	3398	4731
418	3407	4725
419	3413	4714
420	3423	4707
421	3427	4694
422	3437	4688
423	3442	4676
424	3450	4667
425	3456	4656
426	3460	4643
427	3468	4635
428	3473	4623
429	3478	4610
430	3486	4603
431	3491	4590
432	3500	4584
433	3507	4573
434	3516	4567
435	3521	4555
436	3526	4542
437	3534	4535
438	3538	4522
439	3547	4515
440	3552	4503
441	3556	4490
442	3564	4481
443	3573	4474
444	3579	4464
445	3587	4455
446	3600	4454
447	3606	4443
448	3614	4435
449	3619	4423
450	3627	4415
451	3632	4403
452	3639	4395
453	3644	4383
454	3649	4371
455	3658	4364
456	3663	4352
457	3667	4340
458	3675	4332
459	3680	4320
460	3688	4312
461	3692	4300
462	3698	4289
463	3707	4282
464	3713	4272
465	3726	4270
466	3731	4258
467	3740	4252
468	3746	4241
469	3752	4231
470	3757	4220
471	3767	4213
472	3772	4203
473	3778	4192
474	3786	4185
475	3791	4173
476	3798	4164
477	3805	4155
478	3811	4145
479	3820	4138
480	3825	4127
481	3833	4119
482	3838	4108
483	3842	4096
484	3851	4089
485	3856	4078
486	3865	4071
487	3871	4061
488	3879	4053
489	3885	4043
490	3889	4032
491	3898	4025
492	3902	4013
493	3907	4002
494	3916	3995
495	3922	3985
496	3931	3978
497	3935	3967
498	3944	3960
499	3952	3952
500	3960	3944
501	3965	3933
502	3969	3922
503	3978	3914
504	3982	3904
505	3987	3892
506	3995	3885
507	4000	3874
508	4008	3866
509	4014	3857
510	4023	3850
511	4028	3839
512	4033	3828
513	4041	3821
514	4046	3810
515	4051	3800
516	4059	3792
517	4064	3782
518	4072	3774
519	4077	3763
520	4086	3757
521	4092	3747
522	4096	3736
523	4105	3729
524	4112	3720
525	4118	3711
526	4123	3701
527	4128	3690
528	4136	3683
529	4141	3672
530	4146	3662
531	4153	3653
532	4158	3643
533	4162	3632
534	4169	3624
535	4174	3613
536	4178	3603
537	4188	3596
538	4192	3586
539	4201	3579
540	4208	3570
541	4223	3568
542	4239	3567
543	4247	3559
544	4252	3550
545	4257	3539
546	4267	3534
547	4273	3525
548	4282	3517
549	4286	3507
550	4291	3497
551	4299	3489
552	4305	3479
553	4313	3472
554	4319	3463
555	4328	3456
556	4332	3446
557	4337	3436
558	4345	3427
559	4349	3417
560	4354	3407
561	4362	3400
562	4367	3390
563	4374	3381
564	4379	3372
565	4384	3362
566	4392	3354
567	4396	3344
568	4401	3334
569	4409	3326
570	4415	3317
571	4419	3307
572	4424	3297
573	4429	3287
574	4438	3280
575	4442	3270
576	4447	3260
577	4455	3253
578	4463	3245
579	4472	3238
580	4477	3228
581	4484	3220
582	4489	3210
583	4493	3201
584	4501	3193
585	4507	3184
586	4516	3177
587	4521	3168
588	4526	3158
589	4533	3150
590	4537	3139
591	4541	3130
592	4550	3123
593	4554	3113
594	4559	3103
595	4567	3095
596	4571	3086
597	4576	3076
598	4585	3069
599	4590	3060
600	4598	3052
601	4602	3043
602	4607	3033
603	4617	3027
604	4624	3019
605	4631	3011
606	4636	3001
607	4643	2993
